dataset,task,model,feature_set,metric,fold,value,n_features_added
churn,classification,logreg,baseline,accuracy,0,0.8119233498935415,0
churn,classification,logreg,baseline,accuracy,1,0.8090844570617459,0
churn,classification,logreg,baseline,accuracy,2,0.8197303051809794,0
churn,classification,logreg,baseline,accuracy,3,0.7904829545454546,0
churn,classification,logreg,baseline,accuracy,4,0.7954545454545454,0
churn,classification,logreg,baseline,f1,0,0.6197991391678622,0
churn,classification,logreg,baseline,f1,1,0.6151645207439199,0
churn,classification,logreg,baseline,f1,2,0.6308139534883721,0
churn,classification,logreg,baseline,f1,3,0.5603576751117735,0
churn,classification,logreg,baseline,f1,4,0.5777126099706745,0
churn,classification,logreg,baseline,roc_auc,0,0.8544950786638766,0
churn,classification,logreg,baseline,roc_auc,1,0.8454752124828852,0
churn,classification,logreg,baseline,roc_auc,2,0.8635976129582267,0
churn,classification,logreg,baseline,roc_auc,3,0.825360376112212,0
churn,classification,logreg,baseline,roc_auc,4,0.8364135437892407,0
churn,classification,random_forest,baseline,accuracy,0,0.7934705464868701,0
churn,classification,random_forest,baseline,accuracy,1,0.7927608232789212,0
churn,classification,random_forest,baseline,accuracy,2,0.7920511000709723,0
churn,classification,random_forest,baseline,accuracy,3,0.7755681818181818,0
churn,classification,random_forest,baseline,accuracy,4,0.7784090909090909,0
churn,classification,random_forest,baseline,f1,0,0.5726872246696035,0
churn,classification,random_forest,baseline,f1,1,0.5615615615615616,0
churn,classification,random_forest,baseline,f1,2,0.56071964017991,0
churn,classification,random_forest,baseline,f1,3,0.5093167701863354,0
churn,classification,random_forest,baseline,f1,4,0.5185185185185185,0
churn,classification,random_forest,baseline,roc_auc,0,0.8329522849983209,0
churn,classification,random_forest,baseline,roc_auc,1,0.8196943863184274,0
churn,classification,random_forest,baseline,roc_auc,2,0.8355731225296442,0
churn,classification,random_forest,baseline,roc_auc,3,0.8047078784111072,0
churn,classification,random_forest,baseline,roc_auc,4,0.8156282646696801,0
churn,classification,xgboost,baseline,accuracy,0,0.8055358410220014,0
churn,classification,xgboost,baseline,accuracy,1,0.7892122072391767,0
churn,classification,xgboost,baseline,accuracy,2,0.8005677785663591,0
churn,classification,xgboost,baseline,accuracy,3,0.7734375,0
churn,classification,xgboost,baseline,accuracy,4,0.7926136363636364,0
churn,classification,xgboost,baseline,f1,0,0.6005830903790087,0
churn,classification,xgboost,baseline,f1,1,0.5738880918220947,0
churn,classification,xgboost,baseline,f1,2,0.5897810218978102,0
churn,classification,xgboost,baseline,f1,3,0.5245901639344263,0
churn,classification,xgboost,baseline,f1,4,0.5654761904761905,0
churn,classification,xgboost,baseline,roc_auc,0,0.8456470071559585,0
churn,classification,xgboost,baseline,roc_auc,1,0.8224366426412463,0
churn,classification,xgboost,baseline,roc_auc,2,0.8392350616135782,0
churn,classification,xgboost,baseline,roc_auc,3,0.8162450946108716,0
churn,classification,xgboost,baseline,roc_auc,4,0.8289713898571561,0
housing,regression,logreg,baseline,rmse,0,29026.09797276253,0
housing,regression,logreg,baseline,rmse,1,33431.493020787195,0
housing,regression,logreg,baseline,rmse,2,24781.60958902495,0
housing,regression,logreg,baseline,rmse,3,30578.93259272523,0
housing,regression,logreg,baseline,rmse,4,23686.688791751614,0
housing,regression,logreg,baseline,mae,0,16513.59453552417,0
housing,regression,logreg,baseline,mae,1,15994.031417742071,0
housing,regression,logreg,baseline,mae,2,16045.794754652848,0
housing,regression,logreg,baseline,mae,3,16498.973616581436,0
housing,regression,logreg,baseline,mae,4,15577.85181794373,0
housing,regression,logreg,baseline,r2,0,0.8949162049563179,0
housing,regression,logreg,baseline,r2,1,0.8015183385854586,0
housing,regression,logreg,baseline,r2,2,0.906654622675268,0
housing,regression,logreg,baseline,r2,3,0.8416013608692728,0
housing,regression,logreg,baseline,r2,4,0.9008297319375064,0
housing,regression,random_forest,baseline,rmse,0,26994.96608733947,0
housing,regression,random_forest,baseline,rmse,1,25018.438776870637,0
